date,Company Name,Symbol,author,Sector,expected_return,actual_return,year
2020-03-24,aarti industries limited,AARTIIND,CD Equisearch,Healthcare,28.34378830485254,0.1275882352941176,2020
2020-10-28,aarti industries limited,AARTIIND,CD Equisearch,Healthcare,9.580926995409444,0.0191,2020
2021-09-28,aarti industries limited,AARTIIND,CD Equisearch,Healthcare,-17.962466487935657,0.1515282427907982,2021
2022-09-30,aarti industries limited,AARTIIND,CD Equisearch,Healthcare,-20.67401166558652,0.0328859060402684,2022
2023-09-27,aarti industries limited,AARTIIND,CD Equisearch,Healthcare,8.67377742000403,-0.0201106083459024,2023
2020-08-16,aarti industries limited,AARTIIND,Dolat Capital,Healthcare,32.73031167043555,0.1389320388349513,2020
2020-11-11,aarti industries limited,AARTIIND,Dolat Capital,Healthcare,27.73124141293267,0.0806037735849057,2020
2020-11-18,aarti industries limited,AARTIIND,Dolat Capital,Healthcare,-9.586491158090686,-0.013360006958337,2020
2020-05-29,aarti industries limited,AARTIIND,East India Securities Ltd,Healthcare,2.648158582185117,-0.0783367139959432,2020
2020-11-12,aarti industries limited,AARTIIND,East India Securities Ltd,Healthcare,11.504585489875604,0.05751033532384,2020
2021-04-05,aarti industries limited,AARTIIND,Edelweiss,Healthcare,13.898815121309008,0.0079281974569932,2021
2024-05-13,aarti industries limited,AARTIIND,Emkay,Healthcare,19.590402870169655,-0.0725507633022084,2024
2017-08-17,aarti industries limited,AARTIIND,Geojit BNP Paribas,Healthcare,12.790697674418606,-0.0268341421638596,2017
2018-05-30,aarti industries limited,AARTIIND,Geojit BNP Paribas,Healthcare,18.808510638297875,-0.0694168323392975,2018
2018-08-10,aarti industries limited,AARTIIND,Geojit BNP Paribas,Healthcare,7.19798958894274,-0.0007993841781145,2018
2018-11-02,aarti industries limited,AARTIIND,Geojit BNP Paribas,Healthcare,7.468058304840741,-0.0046204424962236,2018
2018-11-06,aarti industries limited,AARTIIND,Geojit BNP Paribas,Healthcare,7.939914163090128,0.0273376642464505,2018
2019-02-06,aarti industries limited,AARTIIND,Geojit BNP Paribas,Healthcare,10.35632680787995,-0.118020754239433,2019
2019-05-23,aarti industries limited,AARTIIND,Geojit BNP Paribas,Healthcare,12.62640855244149,0.0663030793779324,2019
2019-08-16,aarti industries limited,AARTIIND,Geojit BNP Paribas,Healthcare,-1.2345679012345736,-0.0636135508155584,2019
2019-11-28,aarti industries limited,AARTIIND,Geojit BNP Paribas,Healthcare,10.590884845611336,-0.0571125515615793,2019
2020-02-17,aarti industries limited,AARTIIND,Geojit BNP Paribas,Healthcare,8.884724424583158,0.0351356783919598,2020
2020-06-08,aarti industries limited,AARTIIND,Geojit BNP Paribas,Healthcare,25.38126361655773,-0.0650967741935483,2020
2020-11-12,aarti industries limited,AARTIIND,Geojit BNP Paribas,Healthcare,11.954200554318684,0.05751033532384,2020
2021-02-04,aarti industries limited,AARTIIND,Geojit BNP Paribas,Healthcare,11.974463438195636,0.0144295302013423,2021
2021-05-21,aarti industries limited,AARTIIND,Geojit BNP Paribas,Healthcare,14.25825248550746,-0.013166963755199,2021
2021-11-10,aarti industries limited,AARTIIND,Geojit BNP Paribas,Healthcare,15.04798059685754,0.0283333333333333,2021
2022-03-10,aarti industries limited,AARTIIND,Geojit BNP Paribas,Healthcare,22.8111689540937,0.0809238043280596,2022
2023-04-10,aarti industries limited,AARTIIND,Geojit BNP Paribas,Healthcare,16.201117318435752,0.024256505576208,2023
