### iter_0_a_0.0_b_0.0 ###
                  Sector                              author  mean_performance  count      month
248           Healthcare                        IDBI Capital         -0.025763      3 2016-11-01
249           Healthcare                 Reliance Securities         -0.016692      5 2016-11-01
250        Manufacturing                     Ashika Research         -0.013198      1 2016-11-01
251        Manufacturing                     HDFC Securities         -0.013678      9 2016-11-01
252        Manufacturing                        IDBI Capital          0.060386      5 2016-11-01
253        Manufacturing                      LKP Securities         -0.088585      2 2016-11-01
254           Technology                       Angel Broking          0.000942      2 2016-11-01
255           Technology                     HDFC Securities         -0.016504      5 2016-11-01
256           Technology                      LKP Securities         -0.006515      2 2016-11-01
257           Technology                 Reliance Securities         -0.012637      4 2016-11-01
258           Technology                            Religare          0.038132      2 2016-11-01
259              Unknown            ICICI Securities Limited         -0.042210      3 2016-11-01
260              Unknown                               Karvy         -0.006045      3 2016-11-01
261              Unknown                 Reliance Securities         -0.101047      1 2016-11-01
262            Utilities                     HDFC Securities         -0.002593      1 2016-11-01
263       Consumer Goods                 Chola Wealth Direct         -0.005779      1 2016-12-01
264       Consumer Goods  Rudra Shares and Stock Brokers Ltd         -0.021627      1 2016-12-01
265              Finance                       CD Equisearch         -0.021282      1 2016-12-01
266           Healthcare                     HDFC Securities          0.011076      5 2016-12-01
267           Healthcare            ICICI Securities Limited         -0.015403      1 2016-12-01
268           Healthcare                 Reliance Securities         -0.019284      3 2016-12-01
269        Manufacturing                        IDBI Capital          0.016957      2 2016-12-01
270           Technology                       Angel Broking         -0.032712      1 2016-12-01
271           Technology                     HDFC Securities          0.030759      3 2016-12-01
272              Unknown                               Karvy         -0.047226      2 2016-12-01
273       Consumer Goods                 Chola Wealth Direct          0.094315      1 2017-01-01
274               Energy                     HDFC Securities          0.023290      2 2017-01-01
275               Energy                        IDBI Capital         -0.041759      1 2017-01-01
276              Finance                       CD Equisearch          0.016170      1 2017-01-01
277           Healthcare                       Angel Broking          0.017279      1 2017-01-01
278           Healthcare                      Dynamic Levels         -0.016672      1 2017-01-01
279           Healthcare                     HDFC Securities          0.005184      2 2017-01-01
280           Healthcare            ICICI Securities Limited         -0.000273      6 2017-01-01
281           Healthcare                 Reliance Securities          0.026844      2 2017-01-01
282        Manufacturing                         Axis Direct          0.005577      4 2017-01-01
283        Manufacturing                        IDBI Capital         -0.019404      5 2017-01-01
284           Technology                         Axis Direct         -0.019878      2 2017-01-01
285           Technology                     HDFC Securities         -0.007963      5 2017-01-01
286           Technology                 Reliance Securities         -0.000100      2 2017-01-01
287       Consumer Goods                 Chola Wealth Direct         -0.000524      1 2017-02-01
288               Energy                         Axis Direct          0.020703      5 2017-02-01
289               Energy                     HDFC Securities         -0.014554      6 2017-02-01
290              Finance                       Angel Broking         -0.008741      2 2017-02-01
291              Finance            ICICI Securities Limited          0.016433     23 2017-02-01
292           Healthcare                       Angel Broking          0.024488      6 2017-02-01
293           Healthcare                     HDFC Securities          0.016597     13 2017-02-01
294           Healthcare            ICICI Securities Limited          0.007419     15 2017-02-01
295           Healthcare                        IDBI Capital          0.009222      5 2017-02-01
296           Healthcare                 Reliance Securities         -0.004023      1 2017-02-01
297        Manufacturing            BOB Capital Markets Ltd.          0.004087      2 2017-02-01
298        Manufacturing                        IDBI Capital          0.034200      5 2017-02-01
299        Manufacturing                            Religare          0.023157      2 2017-02-01
300          Real Estate                 Chola Wealth Direct          0.001211      1 2017-02-01
301           Technology                         Axis Direct          0.004999     12 2017-02-01
302           Technology                     HDFC Securities          0.001049     13 2017-02-01
303           Technology                      LKP Securities          0.039544      1 2017-02-01
304           Technology                            Religare         -0.014773      2 2017-02-01
305              Unknown                         Axis Direct          0.000492      2 2017-02-01
306              Unknown                           Edelweiss          0.015228      1 2017-02-01
307              Unknown                               Karvy          0.000643      4 2017-02-01
308       Consumer Goods                         Axis Direct          0.021977      1 2017-03-01
309              Finance                            Religare          0.013711      1 2017-03-01
310           Healthcare                       Angel Broking          0.010265      1 2017-03-01
311           Healthcare                       CD Equisearch         -0.011234      3 2017-03-01
312           Healthcare                     HDFC Securities          0.021129      1 2017-03-01
313           Healthcare            ICICI Securities Limited          0.114775      2 2017-03-01
314        Manufacturing                 Chola Wealth Direct          0.026783      4 2017-03-01
315        Manufacturing                           Edelweiss          0.037923      1 2017-03-01
316        Manufacturing                               Karvy         -0.019211      1 2017-03-01
317          Real Estate                 Chola Wealth Direct          0.000793      1 2017-03-01
318           Technology                         Axis Direct         -0.013909      2 2017-03-01
319           Technology                           Edelweiss          0.070902      2 2017-03-01
320              Unknown                         Axis Direct          0.006656      2 2017-03-01
321              Finance                       Angel Broking         -0.006871      3 2017-04-01
322              Finance                       CD Equisearch          0.006289      1 2017-04-01
323              Finance                        IDBI Capital         -0.007936      6 2017-04-01
324           Healthcare                     HDFC Securities         -0.015919      2 2017-04-01
325        Manufacturing                     Ashika Research         -0.023646      2 2017-04-01
