### iter_0_a_-1.0_b_-1.0 ###
                  Sector                              author  mean_performance  count      month
156        Manufacturing                               Karvy         -0.008461      4 2015-07-01
157        Manufacturing                     Phillip Capital          0.004785      6 2015-07-01
158           Technology                     Ashika Research          0.003828      2 2015-07-01
159           Technology            BOB Capital Markets Ltd.         -0.011079      1 2015-07-01
160           Technology                 Chola Wealth Direct         -0.006804      4 2015-07-01
161           Technology                     HDFC Securities          0.006716      6 2015-07-01
162           Technology                               Karvy          0.015345      2 2015-07-01
163           Technology                     Phillip Capital          0.006402      8 2015-07-01
164           Technology                    Systematix Group          0.016025      1 2015-07-01
165   Telecommunications                     HDFC Securities          0.006014      1 2015-07-01
166              Unknown                               Karvy         -0.012856      3 2015-07-01
167       Consumer Goods            BOB Capital Markets Ltd.         -0.040527      2 2015-08-01
168       Consumer Goods                 Chola Wealth Direct         -0.070384      1 2015-08-01
169       Consumer Goods                               Karvy          0.039634      1 2015-08-01
170       Consumer Goods                     Phillip Capital          0.026674      3 2015-08-01
171               Energy                 Chola Wealth Direct         -0.005021      1 2015-08-01
172               Energy                     HDFC Securities          0.017543      1 2015-08-01
173               Energy                     Phillip Capital          0.000744      2 2015-08-01
174              Finance                 Chola Wealth Direct          0.003544      6 2015-08-01
175              Finance                     HDFC Securities         -0.012625      5 2015-08-01
176              Finance                               Karvy          0.003242      4 2015-08-01
177              Finance                     Phillip Capital         -0.002996      7 2015-08-01
178              Finance                 Reliance Securities          0.028509      1 2015-08-01
179           Healthcare                 Chola Wealth Direct          0.004524      3 2015-08-01
180           Healthcare                     HDFC Securities          0.033958      1 2015-08-01
181           Healthcare                               Karvy         -0.020417      4 2015-08-01
182           Healthcare                     Phillip Capital          0.007825     11 2015-08-01
183           Healthcare                 Reliance Securities          0.016909      6 2015-08-01
184        Manufacturing            BOB Capital Markets Ltd.          0.026314      2 2015-08-01
185        Manufacturing                 Chola Wealth Direct         -0.004656      6 2015-08-01
186        Manufacturing                     HDFC Securities          0.015716      7 2015-08-01
187        Manufacturing                               Karvy          0.014774      9 2015-08-01
188        Manufacturing                     Phillip Capital          0.005279      9 2015-08-01
189        Manufacturing                 Reliance Securities          0.026309      6 2015-08-01
190          Real Estate                 Chola Wealth Direct         -0.044890      1 2015-08-01
191           Technology            BOB Capital Markets Ltd.         -0.002258      3 2015-08-01
192           Technology                 Chola Wealth Direct         -0.011236      2 2015-08-01
193           Technology                     HDFC Securities          0.010046      3 2015-08-01
194           Technology                               Karvy         -0.005212      5 2015-08-01
195           Technology                     Phillip Capital         -0.017498     12 2015-08-01
196   Telecommunications                     Phillip Capital         -0.036233      1 2015-08-01
197              Unknown                 Chola Wealth Direct         -0.013685      1 2015-08-01
198              Unknown                               Karvy         -0.013580      2 2015-08-01
199            Utilities                     HDFC Securities         -0.011521      1 2015-08-01
200       Consumer Goods                               Karvy         -0.003298      2 2015-09-01
201       Consumer Goods                     Phillip Capital          0.029973      1 2015-09-01
202              Finance                     HDFC Securities         -0.025025      1 2015-09-01
203              Finance                               Karvy          0.012036      2 2015-09-01
204           Healthcare                               Karvy          0.011067      1 2015-09-01
205           Healthcare                     Phillip Capital          0.007242      1 2015-09-01
206           Healthcare                 Reliance Securities         -0.009832      1 2015-09-01
207        Manufacturing                     Ashika Research          0.006047      2 2015-09-01
208        Manufacturing                     HDFC Securities         -0.015693      1 2015-09-01
209        Manufacturing                               Karvy          0.009927      3 2015-09-01
210           Technology                     HDFC Securities          0.028664      2 2015-09-01
211           Technology                               Karvy         -0.000465      2 2015-09-01
212           Technology                     Phillip Capital         -0.003654      2 2015-09-01
213              Unknown                               Karvy         -0.018807      1 2015-09-01
214       Consumer Goods                 Chola Wealth Direct          0.008190      1 2015-10-01
215       Consumer Goods                     HDFC Securities          0.002192      2 2015-10-01
216       Consumer Goods                     Phillip Capital         -0.007738      3 2015-10-01
217               Energy                     Phillip Capital         -0.016688      4 2015-10-01
218              Finance                 Chola Wealth Direct         -0.002254      9 2015-10-01
219              Finance                     HDFC Securities         -0.010407      9 2015-10-01
220              Finance                               Karvy         -0.012659      6 2015-10-01
221              Finance                     Phillip Capital         -0.008415     16 2015-10-01
222              Finance                 Reliance Securities         -0.002833     14 2015-10-01
223           Healthcare            BOB Capital Markets Ltd.          0.018360      1 2015-10-01
